Data,Squadra Casa,Squadra Ospite,Categoria,Girone,Ora,Indirizzo,Giornata,A/R,Federazione
29/11/2025,Mariano Calcio,Or.Osio Sotto 17,Pulcini a 7,O,14:30,Velodromo Via Tofane 1 24044 Dalmine,8,Andata,CSI
06/12/2025,Or.Osio Sotto 17,Uso Sforzatica,Pulcini a 7,O,14:30,Parrocchiale (Sintetico) Via S Alessandro 3 24046 Osio Sotto,9,Andata,CSI
06/12/2025,Osio Sopra Bianch,Mariano Calcio,Pulcini a 7,O,14:30,Comunale Via Leonardo Da Vinci 35 24040 Osio Sopra,9,Andata,CSI
06/12/2025,Oriens Brembate,Atletico Grignano,Pulcini a 7,O,14:30,Parrocchiale (Sintetico) Via Marconi 24041 Brembate,9,Andata,CSI
06/12/2025,Osgdalmine Blu,Osio Sopra Rossi,Pulcini a 7,O,15:30,Oratorio (Sintetico) Viale Betelli 1 24044 Dalmine,9,Andata,CSI
07/02/2026,Or.Osio Sotto 16,Osio Sopra Rossi,Pulcini a 7,O,14:30,Parrocchiale (Sintetico) Via S Alessandro 3 24046 Osio Sotto,10,Ritorno,CSI
07/02/2026,Osgdalmine Blu,Atletico Grignano,Pulcini a 7,O,15:30,Oratorio (Sintetico) Viale Betelli 1 24044 Dalmine,10,Ritorno,CSI
07/02/2026,Oriens Brembate,Mariano Calcio,Pulcini a 7,O,14:30,Parrocchiale (Sintetico) Via Marconi 24041 Brembate,10,Ritorno,CSI
07/02/2026,Osio Sopra Bianch,Uso Sforzatica,Pulcini a 7,O,14:30,Comunale Via Leonardo Da Vinci 35 24040 Osio Sopra,10,Ritorno,CSI
14/02/2026,Or.Osio Sotto 17,Osio Sopra Bianch,Pulcini a 7,O,14:30,Parrocchiale (Sintetico) Via S Alessandro 3 24046 Osio Sotto,11,Ritorno,CSI
14/02/2026,Uso Sforzatica,Oriens Brembate,Pulcini a 7,O,14:30,Or.S.Andrea (Sint) Via Colombo 7/A 24044 Dalmine/Sforzatica,11,Ritorno,CSI
14/02/2026,Mariano Calcio,Osgdalmine Blu,Pulcini a 7,O,14:30,Velodromo Via Tofane 1 24044 Dalmine,11,Ritorno,CSI
14/02/2026,Atletico Grignano,Or.Osio Sotto 16,Pulcini a 7,O,15:00,Comunale (Sint) Via Resistenza 24041 Brembate/Grignano,11,Ritorno,CSI
21/02/2026,Osio Sopra Rossi,Atletico Grignano,Pulcini a 7,O,15:30,Comunale Via Leonardo Da Vinci 35 24040 Osio Sopra,12,Ritorno,CSI
21/02/2026,Or.Osio Sotto 16,Mariano Calcio,Pulcini a 7,O,14:30,Parrocchiale (Sintetico) Via S Alessandro 3 24046 Osio Sotto,12,Ritorno,CSI
21/02/2026,Osgdalmine Blu,Uso Sforzatica,Pulcini a 7,O,15:30,Oratorio (Sintetico) Viale Betelli 1 24044 Dalmine,12,Ritorno,CSI
21/02/2026,Oriens Brembate,Or.Osio Sotto 17,Pulcini a 7,O,14:30,Parrocchiale (Sintetico) Via Marconi 24041 Brembate,12,Ritorno,CSI
28/02/2026,Osio Sopra Bianch,Oriens Brembate,Pulcini a 7,O,14:30,Comunale Via Leonardo Da Vinci 35 24040 Osio Sopra,13,Ritorno,CSI
28/02/2026,Or.Osio Sotto 17,Osgdalmine Blu,Pulcini a 7,O,14:30,Parrocchiale (Sintetico) Via S Alessandro 3 24046 Osio Sotto,13,Ritorno,CSI
28/02/2026,Uso Sforzatica,Or.Osio Sotto 16,Pulcini a 7,O,14:30,Or.S.Andrea (Sint) Via Colombo 7/A 24044 Dalmine/Sforzatica,13,Ritorno,CSI
28/02/2026,Mariano Calcio,Osio Sopra Rossi,Pulcini a 7,O,14:30,Velodromo Via Tofane 1 24044 Dalmine,13,Ritorno,CSI
