Data,Squadra Casa,Squadra Ospite,Categoria,Girone,Ora,Indirizzo Campo,Giornata,A/R,Federazione
07/02/2026,V.Or.Petosino Blu,Lemine Almenno Ve,Pulcini a 7,B,14:30,Oratorio Via Martiri Della Libertà 95 24010 Sorisole Petosino,10,R,CSI
07/02/2026,Presezzo Calcio,Real Borgogna 17,Pulcini a 7,B,14:30,Comunale A7 Sintetico Via Olimpia 3 24030 Presezzo,10,R,CSI
07/02/2026,V.Or.Petosino Red,Pontisola Calcio,Pulcini a 7,B,15:30,Oratorio Via Martiri Della Libertà 95 24010 Sorisole Petosino,10,R,CSI
14/02/2026,Pontisola Calcio,Dinamo Gialli,Pulcini a 7,B,14:30,Com.A.Villa Sint Via XXIV Maggio 24036 Ponte S.Pietro,11,R,CSI
14/02/2026,Real Borgogna 17,V.Or.Petosino Blu,Pulcini a 7,B,15:00,Sintetico Via Papa Giovanni XXIII 24030 Barzana,11,R,CSI
14/02/2026,Lemine Almenno Ve,Pol.Sorisolese,Pulcini a 7,B,15:30,Comunale Sint Via F.Lli Roncelli 2 24030 Almenno S.Bartolomeo,11,R,CSI
14/02/2026,Lemine Almenno Gi,V.Or.Petosino Red,Pulcini a 7,B,16:30,Comunale Sint Via F.Lli Roncelli 2 24030 Almenno S.Bartolomeo,11,R,CSI
21/02/2026,Lemine Almenno Gi,Lemine Almenno Ve,Pulcini a 7,B,16:30,Comunale Sint Via F.Lli Roncelli 2 24030 Almenno S.Bartolomeo,12,R,CSI
21/02/2026,Pol.Sorisolese,Real Borgogna 17,Pulcini a 7,B,14:30,Oratorio Via San Carlo 36 24010 Sorisole,12,R,CSI
21/02/2026,Presezzo Calcio,Pontisola Calcio,Pulcini a 7,B,14:30,Comunale A7 Sintetico Via Olimpia 3 24030 Presezzo,12,R,CSI
21/02/2026,V.Or.Petosino Red,Dinamo Gialli,Pulcini a 7,B,15:30,Oratorio Via Martiri Della Libertà 95 24010 Sorisole Petosino,12,R,CSI
28/02/2026,Dinamo Gialli,Presezzo Calcio,Pulcini a 7,B,15:00,Oratorio Sintetico Via Terzi S.Agata 8 24035 Curno,13,R,CSI
28/02/2026,Pontisola Calcio,V.Or.Petosino Blu,Pulcini a 7,B,14:30,Com.A.Villa Sint Via XXIV Maggio 24036 Ponte S.Pietro,13,R,CSI
28/02/2026,Real Borgogna 17,Lemine Almenno Gi,Pulcini a 7,B,15:00,Sintetico Via Papa Giovanni XXIII 24030 Barzana,13,R,CSI
28/02/2026,Lemine Almenno Ve,V.Or.Petosino Red,Pulcini a 7,B,15:30,Comunale Sint Via F.Lli Roncelli 2 24030 Almenno S.Bartolomeo,13,R,CSI
07/03/2026,Lemine Almenno Ve,Real Borgogna 17,Pulcini a 7,B,15:30,Comunale Sint Via F.Lli Roncelli 2 24030 Almenno S.Bartolomeo,14,R,CSI
