04/10/2025;A.C. PONTE S.P. - MAPELLO;ZOGNESE;PRIMI CALCI 7-8anni;A;09:30;PRESEZZO VIA OLIMPIA 3;1;andata;FIGC
04/10/2025;A.C. PONTE S.P. - MAPSQ.B;ACCADEMIA CALCIO A.S.D.;PRIMI CALCI 7-8anni;A;14:15;MAPELLO VIA DEL LAZZARINO;1;andata;FIGC
04/10/2025;ACCADEMIA SPORTIMAGNA;FOOTBALL AMBIVERE;PRIMI CALCI 7-8anni;A;10:00;SANT'OMOBONO TERME VIA ALLE FONTI 2;1;andata;FIGC
04/10/2025;ALME;MALPENSATA CAMPAGNOLA;PRIMI CALCI 7-8anni;A;14:45;ALME' VIA OLIMPIA 8;1;andata;FIGC
04/10/2025;VILLA VALLE SSD ARL;PONTERANICA;PRIMI CALCI 7-8anni;A;09:30;VILLA DALME' VIA RONCO BASSO 5;1;andata;FIGC
11/10/2025;ACCADEMIA CALCIO A.S.D.;ALME;PRIMI CALCI 7-8anni;A;14:30;PALADINA VIA DEGLI ALPINI 1;2;andata;FIGC
11/10/2025;FOOTBALL AMBIVERE;VILLA VALLE SSD ARL;PRIMI CALCI 7-8anni;A;15:00;AMBIVERE VIA LEOPARDI SNC;2;andata;FIGC
11/10/2025;MALPENSATA CAMPAGNOLA;ACCADEMIA SPORTIMAGNA;PRIMI CALCI 7-8anni;A;14:30;BERGAMO Q.RE MALPENSATA VIA OZANAM 12;2;andata;FIGC
11/10/2025;PONTERANICA;A.C. PONTE S.P. - MAPELLO;PRIMI CALCI 7-8anni;A;14:00;PONTERANICA VIA VIII MARZO;2;andata;FIGC
11/10/2025;ZOGNESE;A.C. PONTE S.P. - MAPSQ.B;PRIMI CALCI 7-8anni;A;14:30;ZOGNO VIA CAMANCHE SNC CAMANGHE;2;andata;FIGC
18/10/2025;A.C. PONTE S.P. - MAPELLO;FOOTBALL AMBIVERE;PRIMI CALCI 7-8anni;A;09:30;PRESEZZO VIA OLIMPIA 3;3;andata;FIGC
18/10/2025;A.C. PONTE S.P. - MAPSQ.B;PONTERANICA;PRIMI CALCI 7-8anni;A;14:15;MAPELLO VIA DEL LAZZARINO;3;andata;FIGC
18/10/2025;ALME;ZOGNESE;PRIMI CALCI 7-8anni;A;14:45;ALME' VIA OLIMPIA 8;3;andata;FIGC
18/10/2025;MALPENSATA CAMPAGNOLA;ACCADEMIA CALCIO A.S.D.;PRIMI CALCI 7-8anni;A;14:30;BERGAMO Q.RE MALPENSATA VIA OZANAM 12;3;andata;FIGC
18/10/2025;VILLA VALLE SSD ARL;ACCADEMIA SPORTIMAGNA;PRIMI CALCI 7-8anni;A;09:30;VILLA DALME' VIA RONCO BASSO 5;3;andata;FIGC
25/10/2025;ACCADEMIA SPORTIMAGNA;A.C. PONTE S.P. - MAPELLO;PRIMI CALCI 7-8anni;A;10:00;SANT'OMOBONO TERME VIA ALLE FONTI 2;4;andata;FIGC
25/10/2025;FOOTBALL AMBIVERE;A.C. PONTE S.P. - MAPSQ.B;PRIMI CALCI 7-8anni;A;15:00;AMBIVERE VIA LEOPARDI SNC;4;andata;FIGC
25/10/2025;PONTERANICA;ALME;PRIMI CALCI 7-8anni;A;14:00;PONTERANICA VIA VIII MARZO;4;andata;FIGC
25/10/2025;VILLA VALLE SSD ARL;MALPENSATA CAMPAGNOLA;PRIMI CALCI 7-8anni;A;09:30;VILLA DALME' VIA RONCO BASSO 5;4;andata;FIGC
25/10/2025;ZOGNESE;ACCADEMIA CALCIO A.S.D.;PRIMI CALCI 7-8anni;A;14:30;ZOGNO VIA CAMANCHE SNC CAMANGHE;4;andata;FIGC
01/11/2025;A.C. PONTE S.P. - MAPELLO;VILLA VALLE SSD ARL;PRIMI CALCI 7-8anni;A;09:30;PRESEZZO VIA OLIMPIA 3;5;andata;FIGC
01/11/2025;A.C. PONTE S.P. - MAPSQ.B;ACCADEMIA SPORTIMAGNA;PRIMI CALCI 7-8anni;A;14:15;MAPELLO VIA DEL LAZZARINO;5;andata;FIGC
01/11/2025;ACCADEMIA CALCIO A.S.D.;PONTERANICA;PRIMI CALCI 7-8anni;A;14:30;PALADINA VIA DEGLI ALPINI 1;5;andata;FIGC
01/11/2025;ALME;FOOTBALL AMBIVERE;PRIMI CALCI 7-8anni;A;14:45;ALME' VIA OLIMPIA 8;5;andata;FIGC
01/11/2025;MALPENSATA CAMPAGNOLA;ZOGNESE;PRIMI CALCI 7-8anni;A;14:30;BERGAMO Q.RE MALPENSATA VIA OZANAM 12;5;andata;FIGC
08/11/2025;A.C. PONTE S.P. - MAPELLO;MALPENSATA CAMPAGNOLA;PRIMI CALCI 7-8anni;A;09:30;PRESEZZO VIA OLIMPIA 3;6;andata;FIGC
08/11/2025;ACCADEMIA SPORTIMAGNA;ALME;PRIMI CALCI 7-8anni;A;10:00;SANT'OMOBONO TERME VIA ALLE FONTI 2;6;andata;FIGC
08/11/2025;FOOTBALL AMBIVERE;ACCADEMIA CALCIO A.S.D.;PRIMI CALCI 7-8anni;A;15:00;AMBIVERE VIA LEOPARDI SNC;6;andata;FIGC
08/11/2025;PONTERANICA;ZOGNESE;PRIMI CALCI 7-8anni;A;14:00;PONTERANICA VIA VIII MARZO;6;andata;FIGC
08/11/2025;VILLA VALLE SSD ARL;A.C. PONTE S.P. - MAPSQ.B;PRIMI CALCI 7-8anni;A;09:30;VILLA DALME' VIA RONCO BASSO 5;6;andata;FIGC
15/11/2025;A.C. PONTE S.P. - MAPSQ.B;A.C. PONTE S.P. - MAPELLO;PRIMI CALCI 7-8anni;A;14:15;MAPELLO VIA DEL LAZZARINO;7;andata;FIGC
15/11/2025;ACCADEMIA CALCIO A.S.D.;ACCADEMIA SPORTIMAGNA;PRIMI CALCI 7-8anni;A;14:30;PALADINA VIA DEGLI ALPINI 1;7;andata;FIGC
15/11/2025;ALME;VILLA VALLE SSD ARL;PRIMI CALCI 7-8anni;A;14:45;ALME' VIA OLIMPIA 8;7;andata;FIGC
15/11/2025;MALPENSATA CAMPAGNOLA;PONTERANICA;PRIMI CALCI 7-8anni;A;14:30;BERGAMO Q.RE MALPENSATA VIA OZANAM 12;7;andata;FIGC
15/11/2025;ZOGNESE;FOOTBALL AMBIVERE;PRIMI CALCI 7-8anni;A;14:30;ZOGNO VIA CAMANCHE SNC CAMANGHE;7;andata;FIGC
22/11/2025;A.C. PONTE S.P. - MAPELLO;ALME;PRIMI CALCI 7-8anni;A;09:30;PRESEZZO VIA OLIMPIA 3;8;andata;FIGC
22/11/2025;A.C. PONTE S.P. - MAPSQ.B;MALPENSATA CAMPAGNOLA;PRIMI CALCI 7-8anni;A;14:15;MAPELLO VIA DEL LAZZARINO;8;andata;FIGC
22/11/2025;ACCADEMIA SPORTIMAGNA;ZOGNESE;PRIMI CALCI 7-8anni;A;10:00;SANT'OMOBONO TERME VIA ALLE FONTI 2;8;andata;FIGC
22/11/2025;FOOTBALL AMBIVERE;PONTERANICA;PRIMI CALCI 7-8anni;A;15:00;AMBIVERE VIA LEOPARDI SNC;8;andata;FIGC
22/11/2025;VILLA VALLE SSD ARL;ACCADEMIA CALCIO A.S.D.;PRIMI CALCI 7-8anni;A;09:30;VILLA DALME' VIA RONCO BASSO 5;8;andata;FIGC
