Data,Squadra Casa,Squadra Ospite,Categoria,Girone,Ora,Indirizzo Campo,Giornata,A/R,Federazione
06/12/2025,Lemine Almenno Bi,Sportimagna,Pulcini a 7,A,14:30,Comunale Sint Via F.Lli Roncelli 2 24030 Almenno S.Bartolomeo,9,A,CSI
06/12/2025,Acc.Villa D'Alme,San Pellegrino,Pulcini a 7,A,14:30,Comunale a 7 Sint Via Ronco Basso 15 24018 Villa D'Almè,9,A,CSI
07/02/2026,Sportimagna,Calcio Avbrembana,Pulcini a 7,A,14:30,Comunale Sintetico a 7 Via Elia Frosio 6 24038 S.Omobono Terme,10,R,CSI
07/02/2026,San Pellegrino,Lemine Almenno Bi,Pulcini a 7,A,14:30,Stadio Quarenghi Sint Via B.Belotti 24016 S.Pellegrino Terme,10,R,CSI
07/02/2026,Gso Botta,Olmo 1999,Pulcini a 7,A,14:30,Oratorio Sintetico Via Palazzo 2 24010 Sedrina/Botta,10,R,CSI
07/02/2026,Brembillese,Acc.Villa D'Alme,Pulcini a 7,A,10:00,L.Secomandi Località Piana 24012 Brembilla,10,R,CSI
14/02/2026,Lemine Almenno Bi,Gso Botta,Pulcini a 7,A,14:30,Comunale Sint Via F.Lli Roncelli 2 24030 Almenno S.Bartolomeo,11,R,CSI
14/02/2026,Valserina,Sportimagna,Pulcini a 7,A,15:00,Comunale Via Valle 24017 Serina,11,R,CSI
14/02/2026,Olmo 1999,Brembillese,Pulcini a 7,A,15:00,Comunale Sintetico Via S.Antonio Abate 24010 Olmo al Brembo,11,R,CSI
14/02/2026,Acc.Villa D'Alme,San Pellegrino,Pulcini a 7,A,14:30,Comunale a 7 Sint Via Ronco Basso 15 24018 Villa D'Almè,11,R,CSI
21/02/2026,Brembillese,Lemine Almenno Bi,Pulcini a 7,A,10:00,L.Secomandi Località Piana 24012 Brembilla,12,R,CSI
21/02/2026,Sportimagna,Acc.Villa D'Alme,Pulcini a 7,A,14:30,Comunale Sintetico a 7 Via Elia Frosio 6 24038 S.Omobono Terme,12,R,CSI
21/02/2026,Olmo 1999,Valserina,Pulcini a 7,A,15:00,Comunale Sintetico Via S.Antonio Abate 24010 Olmo al Brembo,12,R,CSI
21/02/2026,San Pellegrino,Gso Botta,Pulcini a 7,A,14:30,Stadio Quarenghi Sint Via B.Belotti 24016 S.Pellegrino Terme,12,R,CSI
28/02/2026,Sportimagna,Brembillese,Pulcini a 7,A,14:30,Comunale Sintetico a 7 Via Elia Frosio 6 24038 S.Omobono Terme,13,R,CSI
28/02/2026,Lemine Almenno Bi,Olmo 1999,Pulcini a 7,A,14:30,Comunale Sint Via F.Lli Roncelli 2 24030 Almenno S.Bartolomeo,13,R,CSI
28/02/2026,Valserina,San Pellegrino,Pulcini a 7,A,15:00,Comunale Via Valle 24017 Serina,13,R,CSI
28/02/2026,Gso Botta,Acc.Villa D'Alme,Pulcini a 7,A,14:30,Oratorio Sintetico Via Palazzo 2 24010 Sedrina/Botta,13,R,CSI
07/03/2026,San Pellegrino,Sportimagna,Pulcini a 7,A,14:30,Stadio Quarenghi Sint Via B.Belotti 24016 S.Pellegrino Terme,14,R,CSI
07/03/2026,Gso Botta,Brembillese,Pulcini a 7,A,14:30,Oratorio Sintetico Via Palazzo 2 24010 Sedrina/Botta,14,R,CSI
07/03/2026,Acc.Villa D'Alme,Lemine Almenno Bi,Pulcini a 7,A,14:30,Comunale a 7 Sint Via Ronco Basso 15 24018 Villa D'Almè,14,R,CSI
07/03/2026,Olmo 1999,Valserina,Pulcini a 7,A,15:00,Comunale Sintetico Via S.Antonio Abate 24010 Olmo al Brembo,14,R,CSI
14/03/2026,Sportimagna,Olmo 1999,Pulcini a 7,A,14:30,Comunale Sintetico a 7 Via Elia Frosio 6 24038 S.Omobono Terme,15,R,CSI
14/03/2026,Valserina,Acc.Villa D'Alme,Pulcini a 7,A,15:00,Comunale Via Valle 24017 Serina,15,R,CSI
14/03/2026,Brembillese,Gso Botta,Pulcini a 7,A,10:00,L.Secomandi Località Piana 24012 Brembilla,15,R,CSI
14/03/2026,Lemine Almenno Bi,San Pellegrino,Pulcini a 7,A,14:30,Comunale Sint Via F.Lli Roncelli 2 24030 Almenno S.Bartolomeo,15,R,CSI
