Data,squadra casa,squadra ospite,categoria,girone,ora di gioco,indirizzo campo di gioco,giornata,A/R,federazione
14/02/2026,ARES REDONA,U.S.CALCIO SAN PELLEGRINO,ESORDIENTI 11anni,D,15:45,BERGAMO Q.RE REDONA VIA GOISIS,3,RITORNO,FIGC
14/02/2026,ALME,ZOGNESE,ESORDIENTI 11anni,D,14:30,ALME VIA OLIMPIA 8,3,RITORNO,FIGC
25/10/2025,ALME,CITTA DI ALZANO1921 ASD,ESORDIENTI 11anni,D,14:30,ALME VIA OLIMPIA 8,4,ANDATA,FIGC
25/10/2025,ARES REDONA,ROVETTA U.S. A.S.D. SQ.B,ESORDIENTI 11anni,D,15:45,BERGAMO Q.RE REDONA VIA GOISIS,4,ANDATA,FIGC
25/10/2025,LEMINE ALMENNO CALCIO,U.S.CALCIO SAN PELLEGRINO,ESORDIENTI 11anni,D,14:30,ALMENNO SAN SALVATORE VIA LEMEN N1,4,ANDATA,FIGC
25/10/2025,RANICA CALCIO,ORATORIO SAN TOMASO,ESORDIENTI 11anni,D,09:00,RANICA PIAZZA L BERTETT SNC,4,ANDATA,FIGC
25/10/2025,ZOGNESE,FIORENTE 1946 COLOGNOLA,ESORDIENTI 11anni,D,16:00,ZOGNO VIA CAMANCHE SNC,4,ANDATA,FIGC
21/02/2026,CITTA DI ALZANO1921 ASD,ALME,ESORDIENTI 11anni,D,14:30,ALZANO LOMBARDO VIA GRAZIOLI ANG BALDUZZI 11,4,RITORNO,FIGC
21/02/2026,ROVETTA U.S. A.S.D. SQ.B,ARES REDONA,ESORDIENTI 11anni,D,15:45,ROVETTA VIA PAPA GIOVANNI XXIII 12C,4,RITORNO,FIGC
21/02/2026,U.S.CALCIO SAN PELLEGRINO,LEMINE ALMENNO CALCIO,ESORDIENTI 11anni,D,16:30,SAN PELLEGRINO TERME VIA B BELOTTI 2,4,RITORNO,FIGC
21/02/2026,ORATORIO SAN TOMASO,RANICA CALCIO,ESORDIENTI 11anni,D,16:00,BERGAMO Q.RE S TOMASO VIA SAN TOMASO DE CALVI 26,4,RITORNO,FIGC
21/02/2026,FIORENTE 1946 COLOGNOLA,ZOGNESE,ESORDIENTI 11anni,D,14:30,BERGAMO Q.RE COLOGNOLA VIA S SISTO 9,4,RITORNO,FIGC
01/11/2025,CITTA DI ALZANO1921 ASD,ZOGNESE,ESORDIENTI 11anni,D,14:30,ALZANO LOMBARDO VIA GRAZIOLI ANG BALDUZZI 11,5,ANDATA,FIGC
01/11/2025,FIORENTE 1946 COLOGNOLA,RANICA CALCIO,ESORDIENTI 11anni,D,14:30,BERGAMO Q.RE COLOGNOLA VIA S SISTO 9,5,ANDATA,FIGC
01/11/2025,ORATORIO SAN TOMASO,ARES REDONA,ESORDIENTI 11anni,D,16:00,BERGAMO Q.RE S TOMASO VIA SAN TOMASO DE CALVI 26,5,ANDATA,FIGC
01/11/2025,ROVETTA U.S. A.S.D. SQ.B,LEMINE ALMENNO CALCIO,ESORDIENTI 11anni,D,15:45,ROVETTA VIA PAPA GIOVANNI XXIII 12C,5,ANDATA,FIGC
01/11/2025,U.S.CALCIO SAN PELLEGRINO,ALME,ESORDIENTI 11anni,D,16:30,SAN PELLEGRINO TERME VIA B BELOTTI 2,5,ANDATA,FIGC
28/02/2026,ZOGNESE,CITTA DI ALZANO1921 ASD,ESORDIENTI 11anni,D,16:00,ZOGNO VIA CAMANCHE SNC,5,RITORNO,FIGC
28/02/2026,RANICA CALCIO,FIORENTE 1946 COLOGNOLA,ESORDIENTI 11anni,D,09:00,RANICA PIAZZA L BERTETT SNC,5,RITORNO,FIGC
28/02/2026,ARES REDONA,ORATORIO SAN TOMASO,ESORDIENTI 11anni,D,15:45,BERGAMO Q.RE REDONA VIA GOISIS,5,RITORNO,FIGC
28/02/2026,LEMINE ALMENNO CALCIO,ROVETTA U.S. A.S.D. SQ.B,ESORDIENTI 11anni,D,14:30,ALMENNO SAN SALVATORE VIA LEMEN N1,5,RITORNO,FIGC
28/02/2026,ALME,U.S.CALCIO SAN PELLEGRINO,ESORDIENTI 11anni,D,14:30,ALME VIA OLIMPIA 8,5,RITORNO,FIGC
08/11/2025,ALME,ROVETTA U.S. A.S.D. SQ.B,ESORDIENTI 11anni,D,14:30,ALME VIA OLIMPIA 8,6,ANDATA,FIGC
08/11/2025,ARES REDONA,RANICA CALCIO,ESORDIENTI 11anni,D,15:45,BERGAMO Q.RE REDONA VIA GOISIS,6,ANDATA,FIGC
08/11/2025,CITTA DI ALZANO1921 ASD,FIORENTE 1946 COLOGNOLA,ESORDIENTI 11anni,D,14:30,ALZANO LOMBARDO VIA GRAZIOLI ANG BALDUZZI 11,6,ANDATA,FIGC
08/11/2025,LEMINE ALMENNO CALCIO,ORATORIO SAN TOMASO,ESORDIENTI 11anni,D,14:30,ALMENNO SAN SALVATORE VIA LEMEN N1,6,ANDATA,FIGC
08/11/2025,ZOGNESE,U.S.CALCIO SAN PELLEGRINO,ESORDIENTI 11anni,D,16:00,ZOGNO VIA CAMANCHE SNC,6,ANDATA,FIGC
07/03/2026,ROVETTA U.S. A.S.D. SQ.B,ALME,ESORDIENTI 11anni,D,15:45,ROVETTA VIA PAPA GIOVANNI XXIII 12C,6,RITORNO,FIGC
07/03/2026,RANICA CALCIO,ARES REDONA,ESORDIENTI 11anni,D,09:00,RANICA PIAZZA L BERTETT SNC,6,RITORNO,FIGC
07/03/2026,FIORENTE 1946 COLOGNOLA,CITTA DI ALZANO1921 ASD,ESORDIENTI 11anni,D,14:30,BERGAMO Q.RE COLOGNOLA VIA S SISTO 9,6,RITORNO,FIGC
07/03/2026,ORATORIO SAN TOMASO,LEMINE ALMENNO CALCIO,ESORDIENTI 11anni,D,16:00,BERGAMO Q.RE S TOMASO VIA SAN TOMASO DE CALVI 26,6,RITORNO,FIGC
07/03/2026,U.S.CALCIO SAN PELLEGRINO,ZOGNESE,ESORDIENTI 11anni,D,16:30,SAN PELLEGRINO TERME VIA B BELOTTI 2,6,RITORNO,FIGC
15/11/2025,FIORENTE 1946 COLOGNOLA,ARES REDONA,ESORDIENTI 11anni,D,14:30,BERGAMO Q.RE COLOGNOLA VIA S SISTO 9,7,ANDATA,FIGC
15/11/2025,ORATORIO SAN TOMASO,ALME,ESORDIENTI 11anni,D,16:00,BERGAMO Q.RE S TOMASO VIA SAN TOMASO DE CALVI 26,7,ANDATA,FIGC
15/11/2025,RANICA CALCIO,LEMINE ALMENNO CALCIO,ESORDIENTI 11anni,D,09:00,RANICA PIAZZA L BERTETT SNC,7,ANDATA,FIGC
