Data,squadra casa,squadra ospite,categoria,girone,ora di gioco,indirizzo campo di gioco,giornata,A/R,federazione
21/02/2026,LALLIO CALCIO,GRASSOBBIO,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,LALLIO - VIA GRAZIA DELEDDA,3,ritorno,FIGC
18/10/2025,MALPENSATA CAMPAGNOLA,CELADINA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:45,BERGAMO Q.RE CAMPAGNOLA - VIA GASPARINI,3,andata,FIGC
21/02/2026,CELADINA,MALPENSATA CAMPAGNOLA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:00,BERGAMO Q.RE CELADINA - VIA PIZZO SCAIS 1,3,ritorno,FIGC
18/10/2025,TREALBE CALCIO A.S.D.,ORATORIO SAN TOMASO,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,TREVIOLO - VIA AREONAUTICA N.3,3,andata,FIGC
21/02/2026,ORATORIO SAN TOMASO,TREALBE CALCIO A.S.D.,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,"BERGAMO Q.RE S.TOMASO - VIA SAN TOMASO DE' CALVI, 26",3,ritorno,FIGC
25/10/2025,CELADINA,TREALBE CALCIO A.S.D.,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:00,BERGAMO Q.RE CELADINA - VIA PIZZO SCAIS 1,4,andata,FIGC
28/02/2026,TREALBE CALCIO A.S.D.,CELADINA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,TREVIOLO - VIA AREONAUTICA N.3,4,ritorno,FIGC
25/10/2025,EXCELSIOR SEZ. CALCIO ASD,ACC.CALCIO A.V. BREMBANA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:30,"BERGAMO Q.RE S.CATERINA - VIALE GIULIO CESARE,5",4,andata,FIGC
28/02/2026,ACC.CALCIO A.V. BREMBANA,EXCELSIOR SEZ. CALCIO ASD,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:30,SAN GIOVANNI BIANCO - VIA BRIOLO ENTRO SNC,4,ritorno,FIGC
25/10/2025,LALLIO CALCIO,MALPENSATA CAMPAGNOLA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,LALLIO - VIA GRAZIA DELEDDA,4,andata,FIGC
28/02/2026,MALPENSATA CAMPAGNOLA,LALLIO CALCIO,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:45,BERGAMO Q.RE CAMPAGNOLA - VIA GASPARINI,4,ritorno,FIGC
