Data,squadra casa,squadra ospite,categoria,girone,ora di gioco,indirizzo campo di gioco,giornata,A/R,federazione
25/10/2025,BREMBATE SOPRA C.1947 ASD,PALADINA,ESORDIENTI 12 anni,C,14:30,BREMBATE DI SOPRA VIA DON GIOVANNI SALA SNC,4,Andata,FIGC
25/10/2025,U.S.CALCIO SAN PELLEGRINO,FIORENTE 1946 COLOGNOSQ.B,ESORDIENTI 12 anni,C,15:30,SAN PELLEGRINO TERME VIA B.BELOTTI 2,4,Andata,FIGC
21/02/2026,A.C. PONTE S.P. - MAPsq.C,ACCADEMIA SPORTIMAGNA,ESORDIENTI 12 anni,C,17:40,MAPELLO VIA DEL LAZZARINO 1,4,Ritorno,FIGC
21/02/2026,LEMINE ALMENNO CALCIO,ALME,ESORDIENTI 12 anni,C,15:00,ALMENNO SAN SALVATORE VIA LEMEN N1,4,Ritorno,FIGC
21/02/2026,ZOGNESE,BERGAMO FC 1971 ASD,ESORDIENTI 12 anni,C,16:00,ZOGNO VIA CAMANCHE SNC,4,Ritorno,FIGC
21/02/2026,PALADINA,BREMBATE SOPRA C.1947 ASD,ESORDIENTI 12 anni,C,15:00,PALADINA VIA DEGLI ALPINI 1,4,Ritorno,FIGC
21/02/2026,FIORENTE 1946 COLOGNOSQ.B,U.S.CALCIO SAN PELLEGRINO,ESORDIENTI 12 anni,C,16:00,BERGAMO Q.RE COLOGNOLA VIA S.SISTO 9,4,Ritorno,FIGC
01/11/2025,A.C. PONTE S.P. - MAPsq.C,BERGAMO FC 1971 ASD,ESORDIENTI 12 anni,C,17:40,MAPELLO VIA DEL LAZZARINO 1,5,Andata,FIGC
01/11/2025,FIORENTE 1946 COLOGNOSQ.B,ALME,ESORDIENTI 12 anni,C,16:00,BERGAMO Q.RE COLOGNOLA VIA S.SISTO 9,5,Andata,FIGC
01/11/2025,LEMINE ALMENNO CALCIO,ACCADEMIA SPORTIMAGNA,ESORDIENTI 12 anni,C,15:00,ALMENNO SAN SALVATORE VIA LEMEN N1,5,Andata,FIGC
01/11/2025,PALADINA,U.S.CALCIO SAN PELLEGRINO,ESORDIENTI 12 anni,C,15:00,PALADINA VIA DEGLI ALPINI 1,5,Andata,FIGC
01/11/2025,ZOGNESE,BREMBATE SOPRA C.1947 ASD,ESORDIENTI 12 anni,C,16:00,ZOGNO VIA CAMANCHE SNC,5,Andata,FIGC
28/02/2026,BERGAMO FC 1971 ASD,A.C. PONTE S.P. - MAPsq.C,ESORDIENTI 12 anni,C,15:30,BERGAMO Q.RE LORETO VIA MEUCCI,5,Ritorno,FIGC
28/02/2026,ALME,FIORENTE 1946 COLOGNOSQ.B,ESORDIENTI 12 anni,C,16:30,ALME' VIA OLIMPIA 8,5,Ritorno,FIGC
28/02/2026,ACCADEMIA SPORTIMAGNA,LEMINE ALMENNO CALCIO,ESORDIENTI 12 anni,C,16:30,SANT'OMOBONO TERME VIA ALLE FONTI 2,5,Ritorno,FIGC
