Data,Squadra Casa,Squadra Ospite,Categoria,Girone,Ora,Indirizzo Campo,Giornata,A/R,Federazione
22/11/2025,Real Borgogna 15,Dinamopopieluszko,Esordienti a 7,A,14:30,"Comunale 7 (Sintetico) Via Montebello,2 24030 Palazzago",7,Andata,CSI
22/11/2025,Brembate Sopra,Pro Loco Rigosa,Esordienti a 7,A,16:45,Comunale 7 (Sint) Via Don G.Sala 24030 Brembate di Sopra,7,Andata,CSI
22/11/2025,Pol.Com.Sedrinese,Olmo 1999,Esordienti a 7,A,15:00,"Parrocchiale Via Cà Damiani, 27 24010 Sedrina",7,Andata,CSI
29/11/2025,Pro Loco Rigosa,Pol.Com.Sedrinese,Esordienti a 7,A,14:45,Comunale Frazione Rigosa 24010 Algua/Rigosa,8,Andata,CSI
29/11/2025,Dinamopopieluszko,Brembate Sopra,Esordienti a 7,A,16:00,"Oratorio (Sintetico) Via Terzi S. Agata, 8 24035 Curno",8,Andata,CSI
29/11/2025,Presezzo Verde,Real Borgogna 15,Esordienti a 7,A,14:30,"Comunale A7 (Sintetico) Via Olimpia, 3 24030 Presezzo",8,Andata,CSI
29/11/2025,Brembillese,Presezzo Bianca,Esordienti a 7,A,14:30,L.Secomandi Località Piana 24012 Brembilla,8,Andata,CSI
29/11/2025,Locate Bergamasco,Olmo 1999,Esordienti a 7,A,15:30,Parrocchiale Via Delle Rimembranze 14 24036 Ponte San Pietro,8,Andata,CSI
06/12/2025,Presezzo Bianca,Locate Bergamasco,Esordienti a 7,A,15:30,"Comunale A7 (Sintetico) Via Olimpia, 3 24030 Presezzo",9,Andata,CSI
06/12/2025,Real Borgogna 15,Brembillese,Esordienti a 7,A,14:30,"Comunale 7 (Sintetico) Via Montebello,2 24030 Palazzago",9,Andata,CSI
06/12/2025,Brembate Sopra,Presezzo Verde,Esordienti a 7,A,16:45,Comunale 7 (Sint) Via Don G.Sala 24030 Brembate di Sopra,9,Andata,CSI
06/12/2025,Pol.Com.Sedrinese,Dinamopopieluszko,Esordienti a 7,A,15:00,"Parrocchiale Via Cà Damiani, 27 24010 Sedrina",9,Andata,CSI
06/12/2025,Olmo 1999,Pro Loco Rigosa,Esordienti a 7,A,15:00,Comunale (Sintetico) Via S.Antonio Abate 24010 Olmo al Brembo,9,Andata,CSI
07/02/2026,Pro Loco Rigosa,Dinamopopieluszko,Esordienti a 7,A,14:45,Comunale Frazione Rigosa 24010 Algua/Rigosa,1,Ritorno,CSI
07/02/2026,Pol.Com.Sedrinese,Presezzo Verde,Esordienti a 7,A,15:00,"Parrocchiale Via Cà Damiani, 27 24010 Sedrina",1,Ritorno,CSI
07/02/2026,Brembate Sopra,Brembillese,Esordienti a 7,A,16:45,Comunale 7 (Sint) Via Don G.Sala 24030 Brembate di Sopra,1,Ritorno,CSI
07/02/2026,Real Borgogna 15,Locate Bergamasco,Esordienti a 7,A,14:30,"Comunale 7 (Sintetico) Via Montebello,2 24030 Palazzago",1,Ritorno,CSI
07/02/2026,Olmo 1999,Presezzo Bianca,Esordienti a 7,A,15:00,Comunale (Sintetico) Via S.Antonio Abate 24010 Olmo al Brembo,1,Ritorno,CSI
14/02/2026,Presezzo Bianca,Real Borgogna 15,Esordienti a 7,A,15:30,"Comunale A7 (Sintetico) Via Olimpia, 3 24030 Presezzo",2,Ritorno,CSI
14/02/2026,Locate Bergamasco,Brembate Sopra,Esordienti a 7,A,15:30,Parrocchiale Via Delle Rimembranze 14 24036 Ponte San Pietro,2,Ritorno,CSI
14/02/2026,Brembillese,Pol.Com.Sedrinese,Esordienti a 7,A,14:30,L.Secomandi Località Piana 24012 Brembilla,2,Ritorno,CSI
14/02/2026,Presezzo Verde,Pro Loco Rigosa,Esordienti a 7,A,14:30,"Comunale A7 (Sintetico) Via Olimpia, 3 24030 Presezzo",2,Ritorno,CSI
14/02/2026,Dinamopopieluszko,Olmo 1999,Esordienti a 7,A,16:00,"Oratorio (Sintetico) Via Terzi S. Agata, 8 24035 Curno",2,Ritorno,CSI
21/02/2026,Dinamopopieluszko,Presezzo Verde,Esordienti a 7,A,16:00,"Oratorio (Sintetico) Via Terzi S. Agata, 8 24035 Curno",3,Ritorno,CSI
21/02/2026,Pro Loco Rigosa,Brembillese,Esordienti a 7,A,14:45,Comunale Frazione Rigosa 24010 Algua/Rigosa,3,Ritorno,CSI
21/02/2026,Pol.Com.Sedrinese,Locate Bergamasco,Esordienti a 7,A,15:00,"Parrocchiale Via Cà Damiani, 27 24010 Sedrina",3,Ritorno,CSI
21/02/2026,Brembate Sopra,Presezzo Bianca,Esordienti a 7,A,16:45,Comunale 7 (Sint) Via Don G.Sala 24030 Brembate di Sopra,3,Ritorno,CSI
21/02/2026,Olmo 1999,Real Borgogna 15,Esordienti a 7,A,15:00,Comunale (Sintetico) Via S.Antonio Abate 24010 Olmo al Brembo,3,Ritorno,CSI
28/02/2026,Real Borgogna 15,Brembate Sopra,Esordienti a 7,A,14:30,"Comunale 7 (Sintetico) Via Montebello,2 24030 Palazzago",4,Ritorno,CSI
28/02/2026,Presezzo Bianca,Pol.Com.Sedrinese,Esordienti a 7,A,15:30,"Comunale A7 (Sintetico) Via Olimpia, 3 24030 Presezzo",4,Ritorno,CSI
28/02/2026,Locate Bergamasco,Pro Loco Rigosa,Esordienti a 7,A,15:30,Parrocchiale Via Delle Rimembranze 14 24036 Ponte San Pietro,4,Ritorno,CSI
28/02/2026,Brembillese,Dinamopopieluszko,Esordienti a 7,A,14:30,L.Secomandi Località Piana 24012 Brembilla,4,Ritorno,CSI
28/02/2026,Presezzo Verde,Olmo 1999,Esordienti a 7,A,14:30,"Comunale A7 (Sintetico) Via Olimpia, 3 24030 Presezzo",4,Ritorno,CSI
07/03/2026,Presezzo Verde,Brembillese,Esordienti a 7,A,14:30,"Comunale A7 (Sintetico) Via Olimpia, 3 24030 Presezzo",5,Ritorno,CSI
07/03/2026,Dinamopopieluszko,Locate Bergamasco,Esordienti a 7,A,16:00,"Oratorio (Sintetico) Via Terzi S. Agata, 8 24035 Curno",5,Ritorno,CSI
07/03/2026,Pro Loco Rigosa,Presezzo Bianca,Esordienti a 7,A,14:45,Comunale Frazione Rigosa 24010 Algua/Rigosa,5,Ritorno,CSI
07/03/2026,Pol.Com.Sedrinese,Real Borgogna 15,Esordienti a 7,A,15:00,"Parrocchiale Via Cà Damiani, 27 24010 Sedrina",5,Ritorno,CSI
07/03/2026,Olmo 1999,Brembate Sopra,Esordienti a 7,A,15:00,Comunale (Sintetico) Via S.Antonio Abate 24010 Olmo al Brembo,5,Ritorno,CSI
14/03/2026,Brembate Sopra,Pol.Com.Sedrinese,Esordienti a 7,A,16:45,Comunale 7 (Sint) Via Don G.Sala 24030 Brembate di Sopra,6,Ritorno,CSI
14/03/2026,Real Borgogna 15,Pro Loco Rigosa,Esordienti a 7,A,14:30,"Comunale 7 (Sintetico) Via Montebello,2 24030 Palazzago",6,Ritorno,CSI
14/03/2026,Presezzo Bianca,Dinamopopieluszko,Esordienti a 7,A,15:30,"Comunale A7 (Sintetico) Via Olimpia, 3 24030 Presezzo",6,Ritorno,CSI
14/03/2026,Locate Bergamasco,Presezzo Verde,Esordienti a 7,A,15:30,Parrocchiale Via Delle Rimembranze 14 24036 Ponte San Pietro,6,Ritorno,CSI
14/03/2026,Brembillese,Olmo 1999,Esordienti a 7,A,14:30,L.Secomandi Località Piana 24012 Brembilla,6,Ritorno,CSI
21/03/2026,Brembillese,Locate Bergamasco,Esordienti a 7,A,14:30,L.Secomandi Località Piana 24012 Brembilla,7,Ritorno,CSI
21/03/2026,Presezzo Verde,Presezzo Bianca,Esordienti a 7,A,14:30,"Comunale A7 (Sintetico) Via Olimpia, 3 24030 Presezzo",7,Ritorno,CSI
21/03/2026,Dinamopopieluszko,Real Borgogna 15,Esordienti a 7,A,16:00,"Oratorio (Sintetico) Via Terzi S. Agata, 8 24035 Curno",7,Ritorno,CSI
21/03/2026,Pro Loco Rigosa,Brembate Sopra,Esordienti a 7,A,14:45,Comunale Frazione Rigosa 24010 Algua/Rigosa,7,Ritorno,CSI
