04/10/2025;LA TORRE CALCIO A.S.D.;AZZANO CALCIO ASD SQ.C;PRIMI CALCI 7-8anni;C;14:30;TORRE BOLDONE VIALE LOMBARDIA 44;1;andata;FIGC
04/10/2025;LALLIO CALCIO;ORATORI ALZANESE A.S.D.;PRIMI CALCI 7-8anni;C;14:30;LALLIO VIA EVARISTO BASCHENIS;1;andata;FIGC
04/10/2025;SCANZOROSCIATE CALCIO ASD;PONTERANICA SQ.B;PRIMI CALCI 7-8anni;C;14:30;SCANZOROSCIATE VIA POLCAREZZO 2;1;andata;FIGC
04/10/2025;VILLA VALLE SSD ARL SQ.B;ALME SQ.C;PRIMI CALCI 7-8anni;C;10:30;VILLA D'ALME' VIA RONCO BASSO 5;1;andata;FIGC
11/10/2025;ALME SQ.C;LA TORRE CALCIO A.S.D.;PRIMI CALCI 7-8anni;C;15:00;ALME' VIA OLIMPIA 8;2;andata;FIGC
11/10/2025;AZZANO CALCIO ASD SQ.C;RANICA CALCIO;PRIMI CALCI 7-8anni;C;15:00;AZZANO SAN PAOLO VIA STEZZANO 33;2;andata;FIGC
11/10/2025;ORATORI ALZANESE A.S.D.;VILLA VALLE SSD ARL SQ.B;PRIMI CALCI 7-8anni;C;14:30;ALZANO LOMBARDO FRAZIONE NESE VIA MONTELUNGO 3;2;andata;FIGC
11/10/2025;PONTERANICA SQ.B;LALLIO CALCIO;PRIMI CALCI 7-8anni;C;15:00;PONTERANICA VIA VIII MARZO;2;andata;FIGC
18/10/2025;LA TORRE CALCIO A.S.D.;VILLA VALLE SSD ARL SQ.B;PRIMI CALCI 7-8anni;C;14:30;TORRE BOLDONE VIALE LOMBARDIA 44;3;andata;FIGC
18/10/2025;ORATORI ALZANESE A.S.D.;PONTERANICA SQ.B;PRIMI CALCI 7-8anni;C;14:30;ALZANO LOMBARDO FRAZIONE NESE VIA MONTELUNGO 3;3;andata;FIGC
18/10/2025;RANICA CALCIO;ALME SQ.C;PRIMI CALCI 7-8anni;C;14:30;RANICA PIAZZA L BERTETT SNC;3;andata;FIGC
18/10/2025;SCANZOROSCIATE CALCIO ASD;AZZANO CALCIO ASD SQ.C;PRIMI CALCI 7-8anni;C;14:30;SCANZOROSCIATE VIA POLCAREZZO 2;3;andata;FIGC
